Daniela Rodrigues,2,1,1X,2,X,2,X,X,2
Bernardo Aguiar,1X2,1X,2,X2,X,X,X,X,2
Carla Salgado,X2,X2,1,12,1,12,2,1,X
Helena Batista,1X,X2,1,X,1X,2,2,1,1X
Carlos Seabra,2,X,2,2,X,X,1,2,1X
Joana Aguiar,X2,2,X2,X,X,X,1X,1X,X
Bernardo Trindade,1,1,1,1X,1,X,12,X2,2
Antonio Pereira,X,2,X,X,2,1,2,1,1
Bernardo Salgado,1,12,X,X2,1,X,2,1,X
Daniel Pereira,1,1,2,1,1,X,1,2,1
Carla Gomes,2,X2,X2,X2,X,1,1X,X,1
Beatriz Rodrigues,1,1,X,1X,1,1,1,2,2
Joao Aguiar,1,2,1,X2,X,1,1,2,1X
Eduarda Morais,1,X2,X,X,X,X,12,2,2
Carlos Salgado,1X,X,2,1,2,1,X,X,X2
Eduarda Andrade,X,X,X,1X,12,2,1,X,X
Joao Santos,X,1,X2,2,1,2,2,X,X
Beatriz Gomes,1,X,12,1,X,12,1,1,1
Antonio Pinto,1,X2,2,1,1X,X2,X,1X,X
Beatriz Santos,X,2,1,1,1,2,1,12,X
Filipa Teixera,1,X2,1,1,1X,2,X2,X2,2
Luis Morais,X2,2,1,2,X,1,2,2,2
Ana Andrade,1,2,X,X,12,X,1,2,X
Luis Rodrigues,1,1,X,X2,1,1X,1X,2,X2
Joao Santos,2,1X,X,1,1,2,2,X,1X
Antonio Morais,X,1,1,12,1,X,1X,1,1X
Daniela Teixera,X2,2,X,12,X,1,X,X,1
Bernardo Rodrigues,X,X,X,1,2,X,1X2,1,1
Filipa Pinto,X2,1,X,2,2,X,X2,1,2
Carlos Rodrigues,X,X2,2,X2,X,12,1,1,X
Eduardo Pinto,X,12,2,X,2,X,X,X,X
Ana Aguiar,1,1X,12,1,1,2,X,X,X2
Helena Lopes,2,1,X,X,1,X,12,X2,1
Helena Seabra,2,1,X2,2,1X2,2,12,2,2
Eduarda Pereira,1,1,1,2,X2,X2,1X,X2,2
Eduarda Gomes,X,X,1,X,X,1,1,1X,12
Joana Pereira,X,1X,X,X,1,2,1,12,X
Bernardo Santos,X,1X,X,X,X,1,X2,2,1
Antonio Lopes,X,1,X,12,X,X,1,2,1
Bernardo Pereira,X,X,1X,X,12,X,1,2,2
Filipe Batista,X,1,2,X,1,2,12,2,1
Ana Aguiar,12,12,2,1,X,1X,1X,1,12
Helena Bastos,X,12,2,X,2,X,1X,X2,1
Bernardo Lopes,X,2,X2,X,2,X2,X,1X,X
Antonio Teixera,2,X,X,X,2,X,1X2,2,1
Luisa Gomes,X,X2,2,1X,1,X,X,2,1X
Eduarda Aguiar,2,1,1,2,X,2,X2,2,X2
Daniel Trindade,X2,2,1X,1,X,1,1X,2,X
Filipe Abreu,1X,X,1,1X,1,1,X,X,1
Joao Santos,1,2,2,2,12,2,2,X,X
Beatriz Andrade,X,X,2,X,X,1,1X,1,1
Ana Teixera,1X2,X,1,2,X,1,1X,1,1
